collection,url
springframework,https://docs.spring.io/spring-framework/reference/index.html
springboot,https://docs.spring.io/spring-boot/documentation.html
springbatch,https://docs.spring.io/spring-batch/reference/index.html
springwebmvc,https://docs.spring.io/spring-framework/reference/web/webmvc.html
docker,https://docs.docker.com/guides/
elasticsearch,https://www.elastic.co/docs/reference/
flask,https://flask.palletsprojects.com/en/stable/
githubactions,https://docs.github.com/ko/actions
go,https://go.dev/doc/
hibernate,https://docs.jboss.org/hibernate/stable/orm/userguide/html_single/Hibernate_User_Guide.html
huggingface,https://huggingface.co/docs
jenkins,https://www.jenkins.io/doc/book/
kotlin,https://kotlinlang.org/docs/home.html
kubernetes,https://kubernetes.io/ko/docs/home/
mongodb,https://www.mongodb.com/ko-kr/docs/manual/
mysql,https://dev.mysql.com/doc/refman/8.4/en/
nestjs,https://docs.nestjs.com/
nodejs,https://nodejs.org/docs/latest/api/
react,https://react.dev/reference/react
vuejs,https://vuejs.org/guide/introduction.html
redux,https://redux.js.org/introduction/getting-started
redis,https://redis.io/docs/latest/
